Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
26/01/2021,UTAH,NY,108,94,NBA_2021
12/01/2021,CLE,UTAH,87,117,NBA_2021
08/01/2021,MIL,UTAH,118,131,NBA_2021
06/01/2021,NY,UTAH,112,100,NBA_2021
05/01/2021,BKN,UTAH,130,96,NBA_2021
03/01/2021,SA,UTAH,109,130,NBA_2021
31/12/2020,UTAH,PHX,95,106,NBA_2021
26/12/2020,UTAH,MIN,111,116,NBA_2021
23/12/2020,POR,UTAH,100,120,NBA_2021
13/08/2020,UTAH,SA,118,112,NBA_2020
10/08/2020,UTAH,DAL,114,122,NBA_2020
07/08/2020,SA,UTAH,119,111,NBA_2020
05/08/2020,UTAH,MEM,124,115,NBA_2020
03/08/2020,UTAH,LAL,108,116,NBA_2020
27/07/2020,BKN,UTAH,107,112,NBA_2020
25/07/2020,UTAH,MIA,101,99,NBA_2020
23/07/2020,UTAH,PHX,88,101,NBA_2020
09/03/2020,UTAH,TOR,92,101,NBA_2020
06/03/2020,BOS,UTAH,94,99,NBA_2020
04/03/2020,NY,UTAH,104,112,NBA_2020
02/03/2020,CLE,UTAH,113,126,NBA_2020
28/02/2020,UTAH,WSH,129,119,NBA_2020
26/02/2020,UTAH,BOS,103,114,NBA_2020
24/02/2020,UTAH,PHX,111,131,NBA_2020
22/02/2020,UTAH,HOU,110,120,NBA_2020
21/02/2020,UTAH,SA,104,113,NBA_2020
12/02/2020,UTAH,MIA,116,101,NBA_2020
10/02/2020,DAL,UTAH,119,123,NBA_2020
09/02/2020,HOU,UTAH,113,114,NBA_2020
07/02/2020,UTAH,POR,117,114,NBA_2020
01/02/2020,POR,UTAH,124,107,NBA_2020
29/01/2020,SA,UTAH,127,120,NBA_2020
27/01/2020,UTAH,HOU,117,126,NBA_2020
25/01/2020,UTAH,DAL,112,107,NBA_2020
14/01/2020,BKN,UTAH,107,118,NBA_2020
12/01/2020,WSH,UTAH,116,127,NBA_2020
08/01/2020,UTAH,NY,128,104,NBA_2020
04/01/2020,ORL,UTAH,96,109,NBA_2020
26/12/2019,UTAH,POR,121,115,NBA_2020
23/12/2019,MIA,UTAH,107,104,NBA_2020
17/12/2019,UTAH,ORL,109,102,NBA_2020
11/12/2019,MIN,UTAH,116,127,NBA_2020
07/12/2019,UTAH,MEM,126,112,NBA_2020
04/12/2019,UTAH,LAL,96,121,NBA_2020
02/12/2019,PHI,UTAH,103,94,NBA_2020
01/12/2019,TOR,UTAH,130,110,NBA_2020
29/11/2019,MEM,UTAH,94,103,NBA_2020
25/11/2019,MIL,UTAH,122,118,NBA_2020
20/11/2019,MIN,UTAH,95,103,NBA_2020
18/11/2019,UTAH,MIN,102,112,NBA_2020
15/11/2019,MEM,UTAH,107,106,NBA_2020
12/11/2019,UTAH,BKN,119,114,NBA_2020
08/11/2019,UTAH,MIL,103,100,NBA_2020
06/11/2019,UTAH,PHI,106,104,NBA_2020
28/10/2019,PHX,UTAH,95,96,NBA_2020
25/10/2019,LAL,UTAH,95,86,NBA_2020
24/04/2019,HOU,UTAH,100,93,NBA_2019
22/04/2019,UTAH,HOU,107,91,NBA_2019
20/04/2019,UTAH,HOU,101,104,NBA_2019
17/04/2019,HOU,UTAH,118,98,NBA_2019
14/04/2019,HOU,UTAH,122,90,NBA_2019
07/04/2019,LAL,UTAH,113,109,NBA_2019
03/04/2019,PHX,UTAH,97,118,NBA_2019
29/03/2019,UTAH,WSH,128,124,NBA_2019
27/03/2019,UTAH,LAL,115,100,NBA_2019
25/03/2019,UTAH,PHX,125,92,NBA_2019
20/03/2019,NY,UTAH,116,137,NBA_2019
18/03/2019,WSH,UTAH,95,116,NBA_2019
16/03/2019,UTAH,BKN,114,98,NBA_2019
14/03/2019,UTAH,MIN,120,100,NBA_2019
13/03/2019,PHX,UTAH,97,114,NBA_2019
08/03/2019,MEM,UTAH,114,104,NBA_2019
02/03/2019,UTAH,MIL,115,111,NBA_2019
